ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
0,47.432,320.9426113,0.352,129,181.483754,2.2,0.738,1.45,0
0.22749905,73.49223369,728.7508296,0.530351295,180.2067464,201.6197368,4.371898608,8.175876384,1.492206615,1
0.97557799,77.4595861,1198.943699,1.390870905,182.3973702,210.319182,4.466771969,8.577012933,1.496100943,0
0.989912213,81.71089527,1351.906979,1.683992581,187.1707144,217.3583296,4.473092264,14.34316145,1.64151501,1
1.431781555,94.09130748,1372.091043,1.920271449,187.4241309,232.613624,4.861631498,15.6848768,1.659799385,0
1.757037115,94.81254522,2552.962804,2.102690991,192.0335917,233.9079651,4.902888068,16.2915046,1.680554025,1
1.844538366,94.90897713,2808.025756,2.386653494,201.89384,235.0422835,4.966861619,17.00068293,1.687624505,0
1.985383359,97.2809086,2835.303165,2.39798499,201.89384,245.859632,5.051694615,17.52776496,1.801326999,0
2.128531434,98.3679149,2912.211247,2.456013596,201.89384,247.9180305,5.159380308,17.91572257,1.81252894,0
2.376768076,98.45293051,3413.081633,2.458609195,201.89384,251.0208987,5.188466455,18.01527236,1.844371604,0
2.538115773,98.77164353,3640.73432,2.484379977,201.89384,252.9683278,5.196716755,18.10122217,1.872572601,1
2.558102799,100.4576151,3773.281147,2.498596721,201.89384,254.3923058,5.218232927,18.40001219,1.899683002,0
2.569243562,100.8065197,3802.411681,2.562255458,201.89384,254.3932756,5.315286537,19.17517454,1.910116645,0
2.612035915,103.173587,3900.913892,2.577555273,201.89384,256.3025585,5.362370906,20.33775264,1.917754393,0
2.69083124,103.4647587,4111.785432,2.621267556,201.89384,257.0077177,5.426649935,21.35527518,1.922376883,0
2.798549099,104.752425,4142.499001,2.648389907,201.89384,257.7041794,5.512039718,22.21932677,1.943318777,1
2.803563057,105.8592636,4168.196994,2.654490954,201.89384,257.9631542,5.537059329,22.74973504,1.96147543,0
2.92517432,106.3801125,4304.492483,2.726765626,201.89384,258.880209,5.567692791,23.075806,1.964863097,0
2.945469061,107.3419819,4343.356611,2.741712117,201.89384,259.6368031,5.871941344,23.13661102,1.984614867,0
2.97442941,107.3833271,4425.42644,2.750837309,201.89384,259.9637626,5.914617068,23.79295047,1.986191593,1
3.102075565,108.6990768,4440.277357,2.785718426,201.89384,260.5317582,5.934588321,23.8170199,2.000757032,0
3.148712285,108.9166292,4466.257488,2.855789795,201.89384,260.5661636,5.980339206,24.53277334,2.004142586,0
3.230973106,110.8657883,4544.841718,2.862535374,201.89384,261.4352152,6.00039093,24.73422718,2.010537157,0
3.261669787,110.9035977,4728.650671,2.86607303,201.89384,263.7719135,6.016336609,24.91497121,2.010728686,0
3.272820098,111.2464116,4784.967879,2.981378966,201.89384,264.2839334,6.039669028,25.05737466,2.019042018,0
3.337628998,111.4785818,4857.253807,2.993744061,201.89384,264.5080825,6.059608221,25.06190431,2.028875173,0
3.344588533,111.9940275,5075.269202,3.016032603,201.89384,264.6994735,6.063461913,25.52526693,2.08142502,0
3.388090611,112.2994855,5097.82585,3.074316127,201.89384,265.2511986,6.091226588,26.1408627,2.081845657,0
3.410359671,112.820254,5100.094173,3.11744098,201.89384,266.3577439,6.124625358,26.50548404,2.087080217,0
3.422394164,113.0244717,5128.457646,3.124832555,201.89384,267.8017107,6.13421041,27.0957029,2.09178684,0
3.426450368,113.1759646,5157.0536,3.139552658,201.89384,268.4408502,6.30605546,27.55935488,2.095914087,1
3.433874059,113.5046982,5230.63043,3.181183291,201.89384,269.0136348,6.36317483,27.66317378,2.124759352,0
3.43485576,113.8311122,5232.913254,3.19496876,201.89384,269.3446352,6.37407026,28.40087734,2.148611536,0
3.445061864,114.3714503,5477.347215,3.205786283,201.89384,269.4490512,6.478625964,28.56636437,2.165681681,0
3.514545529,114.4638998,5516.874953,3.231438401,201.89384,269.8175391,6.53042864,28.6829518,2.174898199,0
3.551579177,114.733545,5576.628297,3.239580331,201.89384,270.0553938,6.580401551,28.77061884,2.181714167,1
3.590822364,114.8075784,5619.135558,3.267984092,201.89384,270.7940588,6.658138625,28.87860134,2.188701843,0
3.623165848,115.3929794,5689.804405,3.271144024,201.89384,271.3684375,6.732793598,28.99363632,2.191138422,1
3.629922065,116.0619504,5699.504942,3.296157321,201.89384,271.6307383,6.747761289,29.46842812,2.200678202,1
3.633162829,116.2993299,6040.369868,3.308977339,201.89384,272.4405583,6.748091938,29.66814213,2.203840524,1
3.637170625,116.3382781,6068.454885,3.311607257,201.89384,273.4468382,6.776145723,29.8509482,2.2090918,1
3.641629777,116.7251221,6108.795734,3.318045046,201.89384,273.6971392,6.874315404,30.2845972,2.216729691,0
3.657123133,116.9054793,6193.330562,3.331265958,201.89384,274.6605966,7.024747096,30.38331457,2.220639923,1
3.664710562,117.0573145,6342.502843,3.35159782,201.89384,274.6965401,7.025536233,30.38909611,2.227370875,0
3.676844993,117.7912296,6493.547256,3.372369254,201.89384,274.7647028,7.070771158,30.55631047,2.227727884,0
3.678431807,118.9885791,6552.626314,3.40268159,201.89384,275.0717123,7.090387209,30.7084213,2.233894046,0
3.681076271,119.0282155,6626.376426,3.409575836,201.89384,275.317146,7.091228957,30.90081515,2.259550289,1
3.691932693,119.09384,6670.659354,3.440880124,201.89384,275.9865953,7.091298157,30.96584429,2.275903461,0
3.71517136,119.1640103,6675.682245,3.445514571,201.89384,276.5886102,7.122391113,31.00723534,2.27639196,0
3.716080075,119.3340356,6698.239095,3.458191682,201.89384,277.0508017,7.151750616,31.17403937,2.277358632,0
3.717703935,119.8419046,6700.775054,3.462492048,201.89384,277.2341545,7.168607177,31.39045029,2.283475159,0
3.719791644,119.8858103,6743.346066,3.521125217,201.89384,277.3845373,7.24276142,31.55501016,2.285519929,0
3.722500486,120.0217261,6785.145303,3.523713941,201.89384,277.4127111,7.273399392,31.59940356,2.285987849,0
3.730128007,120.1019079,6787.48466,3.606036091,201.89384,277.5880746,7.283012996,31.7059331,2.286943495,0
3.762097646,120.3276153,6873.559885,3.611358232,201.89384,277.9700697,7.360771583,31.77848383,2.29041112,0
3.783043638,120.5601296,6874.586016,3.615890517,201.89384,278.2514237,7.401868176,31.80202422,2.291694536,0
3.792125732,120.7854495,6879.764653,3.619779035,201.89384,278.2606084,7.477315033,31.89550738,2.292573781,1
3.795132905,121.0363186,6967.735565,3.632113587,201.89384,278.3551233,7.49136247,31.94183121,2.293431406,0
3.798391049,121.0673575,6974.225135,3.646847512,201.89384,278.4755859,7.496410136,31.96629681,2.309149057,0
3.800431282,121.4414415,7013.211787,3.651961339,201.89384,278.4832659,7.507662315,31.99799273,2.31815248,1
3.832917409,121.5751392,7028.839617,3.672270533,201.89384,278.5026326,7.59251575,32.07486348,2.339572736,0
3.841205038,122.5410399,7035.133797,3.684462664,201.89384,278.6390387,7.609797727,32.10829248,2.346578095,0
3.84645395,122.9069908,7040.737621,3.688504447,201.89384,278.7532038,7.619812483,32.18537822,2.35333814,0
3.846814328,123.3366439,7066.376917,3.692065358,201.89384,279.1654357,7.637198277,32.43852619,2.355934229,0
3.854617678,124.0073498,7105.800709,3.694274999,201.89384,279.4470657,7.654955683,32.66707799,2.362886022,0
3.878879389,124.4828102,7263.056749,3.713593556,201.89384,279.6468038,7.655381321,32.68185115,2.364558912,0
3.882631081,124.8479917,7323.302301,3.715065352,201.89384,279.6649198,7.665923381,32.74561137,2.367041309,1
3.902475686,125.1587698,7324.701425,3.72377618,201.89384,280.4679159,7.689294407,32.76116092,2.372791477,0
3.906078355,125.3027194,7408.976196,3.749625148,201.89384,281.0692028,7.701010154,32.79902868,2.372924722,0
3.906567514,125.4748835,7412.798059,3.758833182,201.89384,281.0850323,7.702328207,32.92072036,2.373437694,0
3.923473633,125.705329,7450.074375,3.777648007,201.89384,281.5444516,7.710769288,33.05188771,2.380084227,0
3.928556492,125.9751853,7460.24726,3.803036424,201.89384,282.5023381,7.715740128,33.1196126,2.380088049,0
3.94012546,126.4907445,7472.50648,3.804428299,201.89384,282.5999184,7.73310927,33.27929799,2.391540006,1
3.961389047,126.7481003,7557.021271,3.830238422,201.89384,282.6874021,7.750606555,33.37071268,2.39500211,0
3.975752658,127.1175552,7656.413248,3.833901837,201.89384,283.1720077,7.760852569,33.38035359,2.395683182,1
3.978284627,127.1448918,7695.063935,3.842731892,201.89384,283.4014062,7.764144252,33.40304793,2.396505358,0
3.989032078,127.5442971,7705.298605,3.876812715,201.89384,283.6516335,7.775895593,33.43986771,2.402337211,0
3.994497606,127.7396738,7714.746969,3.903496226,201.89384,283.8772795,7.781493373,33.49938102,2.404729206,1
4.004248333,127.9188262,7747.577263,3.91271409,201.89384,284.0179948,7.791637811,33.56304028,2.408049129,0
4.016590233,128.0966912,7751.809491,3.914353184,201.89384,284.4970261,7.809444539,33.59203077,2.413628852,0
4.02905271,128.2634658,7764.438022,3.920973662,201.89384,284.5511731,7.817811637,33.6415395,2.416402098,0
4.031610444,128.4825174,7769.616119,3.923239294,201.89384,284.7744589,7.832108146,33.78155732,2.430883294,0
4.032060534,128.5857327,7839.31876,3.924182928,201.89384,285.228661,7.848312949,33.91835076,2.43250721,0
4.034063411,128.6168685,7845.472891,3.924366893,201.89384,285.3499428,7.85208554,34.19440434,2.43608559,1
4.037287739,128.6200791,7850.641892,3.929623912,201.89384,285.4124362,7.877738514,34.24621224,2.437296288,1
4.059431468,129.2400806,7907.330441,3.961110719,201.89384,285.9980485,7.897724429,34.24978009,2.439140009,0
4.077607725,129.4229205,7929.504749,3.988748936,201.89384,286.0633944,7.918150338,34.25204908,2.443008006,0
4.07792047,129.8238585,7965.207918,3.99217136,201.89384,286.7944316,7.922598333,34.26586026,2.445673388,1
4.08359488,129.8639728,7986.493239,3.998265841,201.89384,286.8907768,7.923397634,34.28841274,2.447444464,1
4.09141145,129.8709584,7990.891468,4.00858411,201.89384,286.9215581,7.935467758,34.44829325,2.452120806,0
4.103867855,129.8832965,7998.674511,4.01344441,201.89384,287.2860574,7.96047754,34.47175336,2.459336841,0
4.126528715,129.8905723,8016.202938,4.023081339,201.89384,287.5729466,7.992209971,34.53740891,2.460464867,0
4.12658131,130.3742719,8076.822283,4.024455657,201.89384,287.5960625,7.996294863,34.719623,2.471786245,0
4.137044913,130.5585615,8081.466471,4.033933564,201.89384,288.0685777,8.00141462,34.789098,2.472720325,0
4.140077139,130.6083633,8086.825999,4.038955039,201.89384,288.2212976,8.006207774,34.789098,2.475284464,0
4.1502143,130.9444639,8108.297322,4.047620471,201.89384,288.3514711,8.00696576,34.789098,2.47667442,0
4.161111968,131.3962531,8127.071254,4.064877887,201.89384,288.3651931,8.008011415,34.789098,2.483643397,0
4.168248461,131.5477443,8129.734919,4.072626263,201.89384,288.3687128,8.010420329,34.789098,2.487968647,1
4.187490815,131.6351765,8136.071591,4.074141162,201.89384,288.5088072,8.027568475,34.789098,2.496342612,1
4.197583589,131.7118961,8201.362113,4.084932416,201.89384,288.5176973,8.03385864,34.789098,2.499831969,0
4.22142068,132.4564835,8213.772245,4.088762947,201.89384,288.9124568,8.064296053,34.789098,2.499910135,0
4.227537386,132.6703047,8238.290038,4.105766323,201.89384,289.2027406,8.069436301,34.789098,2.505464027,0
4.229224559,132.8328367,8240.812709,4.116183136,201.89384,289.4501183,8.073420571,34.789098,2.505650441,0
4.233558617,133.1417512,8273.591971,4.138540037,201.89384,289.5375295,8.07715615,34.789098,2.506238127,0
4.238282525,133.2169416,8296.550611,4.142485399,201.89384,289.5424601,8.120978575,34.789098,2.511810493,1
4.249890379,133.4321324,8403.284552,4.143329384,201.89384,289.6605864,8.123470112,34.789098,2.51676912,0
4.252985001,133.6499247,8406.723244,4.143519243,201.89384,289.7466744,8.127542868,34.789098,2.519891581,0
4.26526964,133.8131148,8451.319111,4.146601118,201.89384,290.1186126,8.129792646,34.789098,2.526016236,0
4.270716195,133.8342291,8471.677381,4.157335299,201.89384,290.1809831,8.138227491,34.789098,2.531074855,0
4.275159673,134.2012887,8508.15373,4.157901706,201.89384,290.4238384,8.148929055,34.789098,2.53399627,0
4.281522089,134.3111598,8524.874646,4.179107963,201.89384,290.8894718,8.189662176,34.789098,2.534499478,0
4.29168773,134.5602761,8532.139517,4.184890692,201.89384,291.0847438,8.233404554,34.789098,2.544020276,1
4.292966858,134.6792566,8535.402956,4.184943038,201.89384,291.1048366,8.23426492,34.789098,2.544733701,0
